Module                  Size  Used by
ccm                    20480  0
rfcomm                102400  16
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
cmac                   12288  3
algif_hash             12288  1
algif_skcipher         12288  1
af_alg                 32768  6 algif_hash,algif_skcipher
qrtr                   53248  2
bnep                   32768  2
snd_ctl_led            24576  0
ledtrig_audio          12288  1 snd_ctl_led
snd_soc_skl_hda_dsp    24576  4
snd_soc_hdac_hdmi      45056  1 snd_soc_skl_hda_dsp
snd_soc_intel_hda_dsp_common    16384  1 snd_soc_skl_hda_dsp
snd_sof_probes         20480  0
snd_hda_codec_realtek   200704  1
snd_hda_codec_generic   122880  1 snd_hda_codec_realtek
snd_soc_dmic           12288  1
snd_sof_pci_intel_tgl    12288  0
snd_sof_intel_hda_common   217088  1 snd_sof_pci_intel_tgl
soundwire_intel        73728  1 snd_sof_intel_hda_common
snd_sof_intel_hda_mlink    45056  2 soundwire_intel,snd_sof_intel_hda_common
soundwire_cadence      45056  1 soundwire_intel
xe                   2723840  0
snd_sof_intel_hda      24576  1 snd_sof_intel_hda_common
snd_hda_codec_hdmi     94208  1
snd_sof_pci            24576  2 snd_sof_intel_hda_common,snd_sof_pci_intel_tgl
snd_sof_xtensa_dsp     12288  1 snd_sof_intel_hda_common
snd_sof               380928  4 snd_sof_pci,snd_sof_intel_hda_common,snd_sof_probes,snd_sof_intel_hda
drm_gpuvm              45056  1 xe
snd_sof_utils          16384  1 snd_sof
drm_exec               12288  2 drm_gpuvm,xe
snd_soc_hdac_hda       24576  1 snd_sof_intel_hda_common
gpu_sched              61440  1 xe
snd_hda_ext_core       32768  5 snd_sof_intel_hda_common,snd_soc_hdac_hdmi,snd_soc_hdac_hda,snd_sof_intel_hda_mlink,snd_sof_intel_hda
drm_suballoc_helper    16384  1 xe
snd_soc_acpi_intel_match    98304  2 snd_sof_intel_hda_common,snd_sof_pci_intel_tgl
drm_ttm_helper         12288  1 xe
snd_soc_acpi           16384  2 snd_soc_acpi_intel_match,snd_sof_intel_hda_common
intel_uncore_frequency    16384  0
soundwire_generic_allocation    12288  1 soundwire_intel
intel_uncore_frequency_common    16384  1 intel_uncore_frequency
soundwire_bus         110592  3 soundwire_intel,soundwire_generic_allocation,soundwire_cadence
intel_tcc_cooling      12288  0
snd_soc_core          442368  8 soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_hdac_hdmi,snd_soc_hdac_hda,snd_sof_probes,snd_soc_dmic,snd_soc_skl_hda_dsp
x86_pkg_temp_thermal    20480  0
binfmt_misc            24576  1
intel_powerclamp       24576  0
snd_compress           28672  2 snd_soc_core,snd_sof_probes
coretemp               24576  0
ac97_bus               12288  1 snd_soc_core
snd_pcm_dmaengine      16384  1 snd_soc_core
kvm_intel             487424  0
snd_hda_intel          61440  0
snd_intel_dspcfg       36864  3 snd_hda_intel,snd_sof,snd_sof_intel_hda_common
exfat                 110592  1
nls_iso8859_1          12288  1
snd_intel_sdw_acpi     16384  2 snd_sof_intel_hda_common,snd_intel_dspcfg
kvm                  1409024  1 kvm_intel
snd_hda_codec         204800  8 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek,snd_soc_intel_hda_dsp_common,snd_soc_hdac_hda,snd_sof_intel_hda,snd_soc_skl_hda_dsp
i915                 4288512  38
snd_hda_core          139264  11 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_hda_codec_realtek,snd_soc_intel_hda_dsp_common,snd_sof_intel_hda_common,snd_soc_hdac_hdmi,snd_soc_hdac_hda,snd_sof_intel_hda
irqbypass              12288  1 kvm
btusb                  77824  0
snd_hwdep              20480  1 snd_hda_codec
crct10dif_pclmul       12288  1
btrtl                  32768  1 btusb
uvcvideo              147456  0
polyval_clmulni        12288  0
snd_pcm               192512  12 snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_hdac_hdmi,snd_compress,snd_soc_core,snd_sof_utils,snd_hda_core,snd_pcm_dmaengine
btintel                57344  1 btusb
polyval_generic        12288  1 polyval_clmulni
videobuf2_vmalloc      20480  1 uvcvideo
iwlmvm                868352  0
snd_seq_midi           24576  0
btbcm                  24576  1 btusb
ghash_clmulni_intel    16384  0
processor_thermal_device_pci_legacy    12288  0
uvc                    12288  1 uvcvideo
snd_seq_midi_event     16384  1 snd_seq_midi
btmtk                  12288  1 btusb
sha256_ssse3           32768  0
processor_thermal_device    20480  1 processor_thermal_device_pci_legacy
videobuf2_memops       16384  1 videobuf2_vmalloc
mac80211             1744896  1 iwlmvm
snd_rawmidi            57344  1 snd_seq_midi
cmdlinepart            12288  0
sha1_ssse3             32768  0
drm_buddy              20480  2 xe,i915
processor_thermal_wt_hint    16384  1 processor_thermal_device
videobuf2_v4l2         36864  1 uvcvideo
processor_thermal_rfim    32768  1 processor_thermal_device
aesni_intel           356352  4
ttm                   110592  3 drm_ttm_helper,xe,i915
